Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,Animal_Type
5,7,0.299012429,0.298538591,0.071609535,0.070887573,2,2,2
5,9,0.320648359,0.314450656,0.08378383,0.091406286,1,1,2
5,9,0.320648359,0.321796379,0.08378383,0.08224318,2,1,2
5,9,0.320648359,0.314670574,0.08378383,0.078639705,1,2,2
5,9,0.320648359,0.321268491,0.08378383,0.084275238,2,2,2
6,1,0.440140865,0.422928042,0.074752931,0.059807335,1,1,2
6,1,0.440140865,0.440376567,0.074752931,0.074909455,2,1,2
6,1,0.440140865,0.49758079,0.074752931,0.028096484,1,2,2
6,1,0.440140865,0.440053305,0.074752931,0.074768164,2,2,2
6,10,0.445347638,0.470873757,0.085104798,0.100477944,1,1,2
6,10,0.445347638,0.444962787,0.085104798,0.08479293,2,1,2
6,10,0.445347638,0.510555493,0.085104798,0.028174328,1,2,2
6,10,0.445347638,0.445206457,0.085104798,0.085132623,2,2,2
6,11,0.360844187,0.366340847,0.061096509,0.039668485,1,1,2
6,11,0.360844187,0.360748572,0.061096509,0.061398763,2,1,2
6,11,0.360844187,0.402113932,0.061096509,0.028668886,1,2,2
6,11,0.360844187,0.360773504,0.061096509,0.061113393,2,2,2
6,12,0.41475369,0.382026964,0.057713334,0.04616732,1,1,2
6,12,0.41475369,0.415250302,0.057713334,0.057728072,2,1,2
6,12,0.41475369,0.356032615,0.057713334,0.032829846,1,2,2
6,12,0.41475369,0.414859209,0.057713334,0.057694629,2,2,2
6,13,0.428502676,0.437097443,0.063624766,0.048854844,1,1,2
6,13,0.428502676,0.428360658,0.063624766,0.06383041,2,1,2
6,13,0.428502676,0.434474689,0.063624766,0.031766793,1,2,2
6,13,0.428502676,0.42848295,0.063624766,0.063702673,2,2,2
6,14,0.46537391,0.453645952,0.060648665,0.054454019,1,1,2
6,14,0.46537391,0.465551232,0.060648665,0.060720096,2,1,2
6,14,0.46537391,0.45834874,0.060648665,0.050622147,1,2,2
6,14,0.46537391,0.46538851,0.060648665,0.06066693,2,2,2
6,15,0.43540363,0.489939961,0.057476053,0.075264311,1,1,2
6,15,0.43540363,0.434642336,0.057476053,0.056819343,2,1,2
6,15,0.43540363,0.503151032,0.057476053,0.025486373,1,2,2
6,15,0.43540363,0.435276205,0.057476053,0.057444229,2,2,2
6,16,0.411793087,0.484527956,0.07731704,0.121474342,1,1,2
6,16,0.411793087,0.410934765,0.07731704,0.076231032,2,1,2
6,16,0.411793087,0.617694849,0.07731704,0,1,2,2
6,16,0.411793087,0.411704106,0.07731704,0.077215146,2,2,2
6,2,0.410074072,0.426728479,0.061392528,0.06042858,1,1,2
6,2,0.410074072,0.409806788,0.061392528,0.061371037,2,1,2
6,2,0.410074072,0.480369421,0.061392528,0.04369855,1,2,2
6,2,0.410074072,0.409901625,0.061392528,0.061330679,2,2,2
6,3,0.429648321,0.475524841,0.081057943,0.105629355,1,1,2
