animal,channel,entropy_mean,entropy_std,animal_type
7,3,0.287974475,0.076586691,2
7,4,0.329396304,0.083308214,2
7,5,0.3449246,0.093129249,2
7,6,0.350626122,0.083557623,2
7,7,0.37610783,0.08265523,2
7,8,0.365582363,0.076246367,2
7,9,0.370205651,0.076811168,2
8,1,0.247950003,0.068396871,2
8,10,0.317040035,0.082827724,2
8,11,0.314554006,0.079143717,2
8,12,0.327549023,0.081654069,2
8,13,0.314732107,0.07597423,2
8,14,0.301888318,0.079266544,2
8,15,0.277887431,0.081135419,2
8,16,0.315966374,0.081022925,2
8,4,0.316192208,0.084664703,2
8,5,0.315309293,0.088571455,2
8,6,0.287847573,0.064757063,2
8,7,0.299012429,0.071609535,2
8,9,0.320648359,0.08378383,2
9,1,0.440140865,0.074752931,2
9,10,0.445347638,0.085104798,2
9,11,0.360844187,0.061096509,2
9,12,0.41475369,0.057713334,2
9,13,0.428502676,0.063624766,2
9,14,0.46537391,0.060648665,2
9,15,0.43540363,0.057476053,2
9,16,0.411793087,0.07731704,2
9,2,0.410074072,0.061392528,2
9,3,0.429648321,0.081057943,2
9,4,0.447025467,0.0668539,2
9,5,0.436000683,0.065326724,2
9,6,0.43309216,0.072914071,2
9,7,0.409835665,0.075769577,2
9,8,0.441687542,0.066635549,2
9,9,0.440439698,0.067488302,2
10,1,0.351978801,0.085807567,2
10,10,0.338887941,0.080527634,2
10,11,0.336441452,0.090619298,2
10,12,0.316095873,0.095350844,2
10,13,0.271956473,0.074175657,2
10,14,0.344533911,0.083814555,2
10,15,0.346491888,0.097351363,2
10,16,0.313556954,0.066312229,2
10,2,0.364154058,0.082197141,2
10,3,0.359549196,0.090231899,2
10,4,0.343931506,0.063103698,2
10,5,0.292669364,0.088172333,2
10,6,0.344016286,0.062126962,2
10,7,0.330318791,0.07260278,2
10,8,0.337156811,0.063922192,2
10,9,0.339876258,0.078867225,2
11,10,0.371410305,0.081200295,2
11,11,0.413327848,0.074614907,2
11,12,0.37786451,0.083392509,2
11,13,0.346869682,0.052862525,2
11,14,0.343175535,0.068406739,2
11,15,0.344028883,0.063984514,2
11,16,0.397429385,0.075318405,2
11,2,0.361847126,0.082299056,2
11,3,0.36296851,0.065371656,2
11,4,0.384694099,0.06743467,2
11,5,0.354915694,0.057409737,2
11,6,0.359226039,0.063405963,2
11,7,0.385181491,0.060274952,2
11,8,0.386503765,0.060060144,2
12,10,0.369667433,0.114903315,2
12,11,0.479299916,0.101116654,2
12,12,0.499604896,0.092396448,2
12,13,0.475355722,0.070180386,2
12,14,0.47884683,0.106022397,2
12,15,0.497417211,0.091444592,2
12,16,0.446787576,0.115024215,2
12,2,0.429185802,0.085879235,2
12,3,0.490749699,0.090583428,2
12,4,0.413614403,0.088816928,2
12,5,0.459630217,0.088793729,2
12,6,0.461587566,0.093273598,2
12,7,0.400417658,0.076655924,2
12,8,0.493164239,0.080743967,2
13,1,0.43059668,0.061747624,2
13,10,0.454319451,0.053272495,2
13,15,0.443578461,0.073114251,2
13,16,0.460062069,0.04970234,2
13,2,0.415169242,0.069704625,2
13,3,0.42126357,0.085238426,2
13,4,0.424775928,0.079655991,2
13,5,0.394908354,0.093110393,2
13,6,0.431015784,0.065035313,2
13,7,0.401015745,0.080281587,2
14,1,0.336923929,0.066730686,2
14,2,0.331430656,0.066933106,2
14,3,0.313428077,0.057362943,2
14,4,0.195279185,0.062570135,2
14,5,0.356202587,0.07451633,2
14,6,0.328972448,0.090665267,2
