Animal,Channel,Baseline_Entropy_Mean,Entropy_Mean,Baseline_Entropy_Std,Entropy_Std,Event_type,Coact_Type,,Animal_Type
pig1723,channel5,0.326546023,0.326840292,0.047380454,0.047317968,Non Event,Coact_STD,,N
pig1723,channel6,0.339472258,0.330099381,0.05230319,0.04652514,Event,Coact_Mean,,N
pig1723,channel6,0.339472258,0.339778711,0.05230319,0.052453101,Non Event,Coact_Mean,,N
pig1723,channel6,0.339472258,0.30801847,0.05230319,0.037242591,Event,Coact_STD,,N
pig1723,channel6,0.339472258,0.339773185,0.05230319,0.052335173,Non Event,Coact_STD,,N
pig1723,channel7,0.313895363,0.29420373,0.057327433,0.047139445,Event,Coact_Mean,,N
pig1723,channel7,0.313895363,0.314425442,0.057327433,0.057483611,Non Event,Coact_Mean,,N
pig1723,channel7,0.313895363,0.262316119,0.057327433,0.022246423,Event,Coact_STD,,N
pig1723,channel7,0.313895363,0.314083462,0.057327433,0.057331294,Non Event,Coact_STD,,N
pig1723,channel8,0.366583781,0.371303055,0.05624699,0.060061555,Event,Coact_Mean,,N
pig1723,channel8,0.366583781,0.366457216,0.05624699,0.056135657,Non Event,Coact_Mean,,N
pig1723,channel8,0.366583781,0.400041984,0.05624699,0.051567032,Event,Coact_STD,,N
pig1723,channel8,0.366583781,0.366371509,0.05624699,0.0562119,Non Event,Coact_STD,,N
pig1723,channel9,0.277139775,0.252808501,0.052002277,0.032376789,Event,Coact_Mean,,N
pig1723,channel9,0.277139775,0.277911693,0.052002277,0.052320127,Non Event,Coact_Mean,,N
pig1723,channel9,0.277139775,0.221037169,0.052002277,0.040192481,Event,Coact_STD,,N
pig1723,channel9,0.277139775,0.277616432,0.052002277,0.051831636,Non Event,Coact_STD,,N
pig1740,channel1,0.30252219,0.332228016,0.047689626,0.05200845,Event,Coact_Mean,,N
pig1740,channel1,0.30252219,0.301511259,0.047689626,0.047207994,Non Event,Coact_Mean,,N
pig1740,channel1,0.30252219,0.324881185,0.047689626,0.055193912,Event,Coact_STD,,N
pig1740,channel1,0.30252219,0.301924401,0.047689626,0.047327953,Non Event,Coact_STD,,N
pig1740,channel10,0.27378291,0.245433877,0.049802511,0.050020236,Event,Coact_Mean,,N
pig1740,channel10,0.27378291,0.274664809,0.049802511,0.049536201,Non Event,Coact_Mean,,N
pig1740,channel10,0.27378291,0.235316815,0.049802511,0.045926346,Event,Coact_STD,,N
pig1740,channel10,0.27378291,0.274756461,0.049802511,0.049510452,Non Event,Coact_STD,,N
pig1740,channel11,0.278944234,0.26625396,0.054068806,0.051334478,Event,Coact_Mean,,N
pig1740,channel11,0.278944234,0.279364954,0.054068806,0.054106142,Non Event,Coact_Mean,,N
pig1740,channel11,0.278944234,0.255186607,0.054068806,0.045134891,Event,Coact_STD,,N
pig1740,channel11,0.278944234,0.27958331,0.054068806,0.054145038,Non Event,Coact_STD,,N
pig1740,channel13,0.305046581,0.254516202,0.076336536,0.100220502,Event,Coact_Mean,,N
pig1740,channel13,0.305046581,0.306515221,0.076336536,0.075022246,Non Event,Coact_Mean,,N
pig1740,channel13,0.305046581,0.237155625,0.076336536,0.095010307,Event,Coact_STD,,N
pig1740,channel13,0.305046581,0.306515817,0.076336536,0.07520715,Non Event,Coact_STD,,N
pig1740,channel14,0.309914552,0.288409143,0.074502543,0.093310135,Event,Coact_Mean,,N
pig1740,channel14,0.309914552,0.311539405,0.074502543,0.072626309,Non Event,Coact_Mean,,N
pig1740,channel14,0.309914552,0.29327401,0.074502543,0.091421165,Event,Coact_STD,,N
pig1740,channel14,0.309914552,0.31052031,0.074502543,0.073742745,Non Event,Coact_STD,,N
pig1740,channel15,0.331983228,0.32345426,0.062031132,0.070764001,Event,Coact_Mean,,N
pig1740,channel15,0.331983228,0.332706022,0.062031132,0.061179212,Non Event,Coact_Mean,,N
